hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove Hill Memorial Hospital,8/1/2024,2.0.0,Grove Hill Memorial Hospital,"295 South Jackson Street, Grove Hill, AL 36451",63-0436871 | AL,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code | 1,code |1| type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,,modifiers,standard_charge|[BCBS]|[Alabama] |negotiated_dollar,standard_charge|[Medicare]|[Alabama] |negotiated_dollar,standard_charge|[Aetna]|[Alabama] | negotiated_dollar,standard_charge|[Cigna]|[Alabama] |negotiated_dollar,standard_charge|[Humana]|[Alabama] |negotiated_dollar,standard_charge|[Medicaid]|[Alabama] |negotiated_dollar,standard_charge|[BCBS]|[Alabama]|negotiated_percentage,standard_charge|[Medicare]|[Alabama]|negotiated_percentage,standard_charge|[Aetna]|[Alabama]|negotiated_percentage,standard_charge|[Cigna]|[Alabama]|negotiated_percentage,standard_charge|[Humana]|[Alabama]|negotiated_percentage,standard_charge|[Medicaid]|[Alabama]|negotiated_percentage,standard_charge|[BCBS]|[Alabama]|negotiated_algorithm,standard_charge|[Medicare]|[Alabama]|negotiated_algorithm,standard_charge|[Aetna]|[Alabama]|negotiated_algorithm,standard_charge|[Cigna]|[Alabama]|negotiated_algorithm,standard_charge|[Humana]|[Alabama]|negotiated_algorithm,standard_charge|[Medicaid]|[Alabama]|negotiated_algorithm,standard_charge|min,standard_charge|max,standard_charge|[BCBS] |[Alabama] |methodology,standard_charge|[Medicare] |[Alabama] |methodology,standard_charge|[Aetna] |[Alabama] |methodology,standard_charge|[Cigna] |[Alabama] |methodology,standard_charge|[Humana] |[Alabama] |methodology,standard_charge|[Medicaid] |[Alabama] |methodology,estimated_amount|[BCBS]|[Alabama],estimated_amount|[Medicare]|[Alabama],estimated_amount|[Aetna]|[Alabama],estimated_amount|[Cigna]|[Alabama],estimated_amount|[Humana]|[Alabama],estimated_amount|[Medicaid]|[Alabama],additional_generic_notes,additional_payer_notes|[BCBS]|[Alabama],additional_payer_notes|[Medicare]|[Alabama],additional_payer_notes|[Aetna]|[Alabama],additional_payer_notes|[Cigna]|[Alabama],additional_payer_notes|[Humana]|[Alabama],additional_payer_notes|[Medicaid]|[Alabama]
BB ANTIGEN SCREEN GROU,86902,CPT,Both,,,253,152,,,50.6,50.6,50.6,50.6,50.6,50.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50.6,190,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50.6,50.6,50.6,50.6,50.6,50.6,N/A,,,,,,
ANTITHROMBIN III ACTIV,85300,CPT,Both,,,217,130,,,43.4,43.4,43.4,43.4,43.4,43.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,43.4,163,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,43.4,43.4,43.4,43.4,43.4,43.4,N/A,,,,,,
ANTITHROMBIN III ANTIG,85301,CPT,Both,,,144,86,,,28.8,28.8,28.8,28.8,28.8,28.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,28.8,108,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,28.8,28.8,28.8,28.8,28.8,28.8,N/A,,,,,,
ASO TITER,86060,CPT,Both,,,113,68,,,22.6,22.6,22.6,22.6,22.6,22.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.6,85,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.6,22.6,22.6,22.6,22.6,22.6,N/A,,,,,,
VITAMIN B6,84207,CPT,Both,,,324,194,,,64.8,64.8,64.8,64.8,64.8,64.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,64.8,243,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,64.8,64.8,64.8,64.8,64.8,64.8,N/A,,,,,,
BASIC METABOLIC PROFIL,80048,CPT,Both,,,296,178,,,59.2,59.2,59.2,59.2,59.2,59.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,59.2,222,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,59.2,59.2,59.2,59.2,59.2,59.2,N/A,,,,,,
HEPATITIS Be ANTIGEN,87350,CPT,Both,,,93,56,,,18.6,18.6,18.6,18.6,18.6,18.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,18.6,70,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,18.6,18.6,18.6,18.6,18.6,18.6,N/A,,,,,,
"BETA 2 MICROGLOBULIN,",82232,CPT,Both,,,322,193,,,64.4,64.4,64.4,64.4,64.4,64.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,64.4,242,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,64.4,64.4,64.4,64.4,64.4,64.4,N/A,,,,,,
BHCG QUANT,84702,CPT,Both,,,149,89,,,29.8,29.8,29.8,29.8,29.8,29.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,29.8,112,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,29.8,29.8,29.8,29.8,29.8,29.8,N/A,,,,,,
BILE ACIDS TOTAL,82239,CPT,Both,,,160,96,,,32,32,32,32,32,32,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,32,120,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,32,32,32,32,32,32,N/A,,,,,,
BILIRUBIN DIRECT,82248,CPT,Both,,,61,37,,,12.2,12.2,12.2,12.2,12.2,12.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,12.2,46,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,12.2,12.2,12.2,12.2,12.2,12.2,N/A,,,,,,
BILIRUBIN TOTAL,82247,CPT,Both,,,61,37,,,12.2,12.2,12.2,12.2,12.2,12.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,12.2,46,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,12.2,12.2,12.2,12.2,12.2,12.2,N/A,,,,,,
BLOOD CULTURE,87040,CPT,Both,,,131,79,,,26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
BUN,84520,CPT,Both,,,53,32,,,10.6,10.6,10.6,10.6,10.6,10.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,10.6,40,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,10.6,10.6,10.6,10.6,10.6,10.6,N/A,,,,,,
CA 19-9,86301,CPT,Both,,,237,142,,,47.4,47.4,47.4,47.4,47.4,47.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,47.4,178,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,47.4,47.4,47.4,47.4,47.4,47.4,N/A,,,,,,
CA 125,86304,CPT,Both,,,180,108,,,36,36,36,36,36,36,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,36,135,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,36,36,36,36,36,36,N/A,,,,,,
CALCIUM,82310,CPT,Both,,,67,40,,,13.4,13.4,13.4,13.4,13.4,13.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.4,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.4,13.4,13.4,13.4,13.4,13.4,N/A,,,,,,
IONIZED CALCIUM,82330,CPT,Both,,,85,51,,,17,17,17,17,17,17,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,17,64,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,17,17,17,17,17,17,N/A,,,,,,
CAMPYLOBACTER,87046,CPT,Both,,,84,50,,,16.8,16.8,16.8,16.8,16.8,16.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,16.8,63,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,16.8,16.8,16.8,16.8,16.8,16.8,N/A,,,,,,
ANTICARDIOLIPIN ANTIBO,86147,CPT,Both,,,190,114,,,38,38,38,38,38,38,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,38,143,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,38,38,38,38,38,38,N/A,,,,,,
"CATECHOLAMINE FRACT, 2",82384,CPT,Both,,,152,91,,,30.4,30.4,30.4,30.4,30.4,30.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30.4,114,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30.4,30.4,30.4,30.4,30.4,30.4,N/A,,,,,,
.BARTONELLA  ANTIBODY,86611,CPT,Both,,,79,47,,,15.8,15.8,15.8,15.8,15.8,15.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,15.8,59,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,15.8,15.8,15.8,15.8,15.8,15.8,N/A,,,,,,
MRSA SCREENING CULTURE,87081,CPT,Both,,,188,113,,,37.6,37.6,37.6,37.6,37.6,37.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,37.6,141,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,37.6,37.6,37.6,37.6,37.6,37.6,N/A,,,,,,
CBC AUTOMATED,85025,CPT,Both,,,150,90,,,30,30,30,30,30,30,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30,113,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30,30,30,30,30,30,N/A,,,,,,
.CBC MANUAL DIFF,85007,CPT,Both,,,105,63,,,21,21,21,21,21,21,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,21,79,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,21,21,21,21,21,21,N/A,,,,,,
CELL COUNT,89051,CPT,Both,,,91,55,,,18.2,18.2,18.2,18.2,18.2,18.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,18.2,68,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,18.2,18.2,18.2,18.2,18.2,18.2,N/A,,,,,,
CERULOPLASMIN,82390,CPT,Both,,,115,69,,,23,23,23,23,23,23,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,23,86,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,23,23,23,23,23,23,N/A,,,,,,
CHLAMYDIA CULTURE,87110,CPT,Both,,,131,79,,,26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
"CHLAMYDIA TRACHOMATIS,",87490,CPT,Both,,,290,174,,,58,58,58,58,58,58,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,58,218,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,58,58,58,58,58,58,N/A,,,,,,
CHLORIDE URINE,82436,CPT,Both,,,65,39,,,13,13,13,13,13,13,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13,49,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13,13,13,13,13,13,N/A,,,,,,
CHOLESTEROL,82465,CPT,Both,,,56,34,,,11.2,11.2,11.2,11.2,11.2,11.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,11.2,42,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,11.2,11.2,11.2,11.2,11.2,11.2,N/A,,,,,,
"CHROMOSOME ANALYSIS, W",88291,CPT,Both,,,200,120,,,40,40,40,40,40,40,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,40,150,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,40,40,40,40,40,40,N/A,,,,,,
.CIRCULATING ANTICOAG,85732,CPT,Both,,,129,77,,,25.8,25.8,25.8,25.8,25.8,25.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.8,97,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.8,25.8,25.8,25.8,25.8,25.8,N/A,,,,,,
CKMB,82553,CPT,Both,,,152,91,,,30.4,30.4,30.4,30.4,30.4,30.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30.4,114,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30.4,30.4,30.4,30.4,30.4,30.4,N/A,,,,,,
CLOSTRIDIUM DIFF TOXIN,87493,CPT,Both,,,150,90,,,30,30,30,30,30,30,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30,113,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30,30,30,30,30,30,N/A,,,,,,
COMPREHENSIVE METABOLI,80053,CPT,Both,,,377,226,,,75.4,75.4,75.4,75.4,75.4,75.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,75.4,283,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,75.4,75.4,75.4,75.4,75.4,75.4,N/A,,,,,,
COPPER SERUM,82525,CPT,Both,,,137,82,,,27.4,27.4,27.4,27.4,27.4,27.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,27.4,103,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,27.4,27.4,27.4,27.4,27.4,27.4,N/A,,,,,,
C-PEPTIDE,84681,CPT,Both,,,98,59,,,19.6,19.6,19.6,19.6,19.6,19.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19.6,74,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19.6,19.6,19.6,19.6,19.6,19.6,N/A,,,,,,
SCREENING OCCULT BLOOD,82270,CPT,Outpatient,,,50,30,,,10,10,10,10,10,10,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,10,38,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,10,10,10,10,10,10,N/A,,,,,,
CPK TOTAL,82550,CPT,Both,,,85,51,,,17,17,17,17,17,17,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,17,64,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,17,17,17,17,17,17,N/A,,,,,,
CREATININE BLOOD,82565,CPT,Both,,,83,50,,,16.6,16.6,16.6,16.6,16.6,16.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,16.6,62,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,16.6,16.6,16.6,16.6,16.6,16.6,N/A,,,,,,
CREATININE CLEARANCE,82575,CPT,Both,,,88,53,,,17.6,17.6,17.6,17.6,17.6,17.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,17.6,66,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,17.6,17.6,17.6,17.6,17.6,17.6,N/A,,,,,,
"CREATININE, RANDOM URI",82570,CPT,Both,,,76,46,,,15.2,15.2,15.2,15.2,15.2,15.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,15.2,57,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,15.2,15.2,15.2,15.2,15.2,15.2,N/A,,,,,,
BB CROSSMATCH,86920,CPT,Both,,,138,83,,,27.6,27.6,27.6,27.6,27.6,27.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,27.6,103,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,27.6,27.6,27.6,27.6,27.6,27.6,N/A,,,,,,
CRP,86141,CPT,Both,,,95,57,,,19,19,19,19,19,19,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19,71,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19,19,19,19,19,19,N/A,,,,,,
"CRYSTALS, JOINT FLUID",89060,CPT,Both,,,67,40,,,13.4,13.4,13.4,13.4,13.4,13.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.4,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.4,13.4,13.4,13.4,13.4,13.4,N/A,,,,,,
CULTURE AEROBIC,87070,CPT,Both,,,110,66,,,22,22,22,22,22,22,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22,22,22,22,22,22,N/A,,,,,,
"CMV ANTIBODIES, IGG",86644,CPT,Both,,,110,66,,,22,22,22,22,22,22,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22,22,22,22,22,22,N/A,,,,,,
D DIMER QUANTITATIVE,85379,CPT,Both,,,42,25,,,8.4,8.4,8.4,8.4,8.4,8.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,8.4,32,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,8.4,8.4,8.4,8.4,8.4,8.4,N/A,,,,,,
DHEA SULFATE,82627,CPT,Both,,,130,78,,,26,26,26,26,26,26,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26,26,26,26,26,26,N/A,,,,,,
DIGOXIN,80162,CPT,Both,,,115,69,,,23,23,23,23,23,23,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,23,86,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,23,23,23,23,23,23,N/A,,,,,,
PHENYTOIN,80185,CPT,Both,,,131,79,,,26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
BB DIRECT COOMBS,86880,CPT,Both,,,130,78,,,26,26,26,26,26,26,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26,26,26,26,26,26,N/A,,,,,,
ANTI DOUBLE STRANDED D,86225,CPT,Both,,,128,77,,,25.6,25.6,25.6,25.6,25.6,25.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.6,96,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.6,25.6,25.6,25.6,25.6,25.6,N/A,,,,,,
COLLECTION/DRAW FEE,36415,CPT,Both,,,16,10,,,3.2,3.2,3.2,3.2,3.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,3.2,12,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,3.2,3.2,3.2,3.2,3.2,3.2,N/A,,,,,,
DRUG SCREEN BLOOD,80307,CPT,Both,,,373,224,,,74.6,74.6,74.6,74.6,74.6,74.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,74.6,280,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,74.6,74.6,74.6,74.6,74.6,74.6,N/A,,,,,,
ELECTROLYTES,80051,CPT,Both,,,107,64,,,21.4,21.4,21.4,21.4,21.4,21.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,21.4,80,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,21.4,21.4,21.4,21.4,21.4,21.4,N/A,,,,,,
EPSTEIN BARR PANEL,86665,CPT,Both,,,257,154,,,51.4,51.4,51.4,51.4,51.4,51.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,51.4,193,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,51.4,51.4,51.4,51.4,51.4,51.4,N/A,,,,,,
"ERYTHROPOIETIN (EPO),",82668,CPT,Both,,,159,95,,,31.8,31.8,31.8,31.8,31.8,31.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,31.8,119,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,31.8,31.8,31.8,31.8,31.8,31.8,N/A,,,,,,
ESTROGEN LEVEL,82672,CPT,Both,,,159,95,,,31.8,31.8,31.8,31.8,31.8,31.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,31.8,119,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,31.8,31.8,31.8,31.8,31.8,31.8,N/A,,,,,,
ETHANOL,82077,CPT,Both,,,84,50,,,16.8,16.8,16.8,16.8,16.8,16.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,16.8,63,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,16.8,16.8,16.8,16.8,16.8,16.8,N/A,,,,,,
FACTOR V ACTIVITY,85220,CPT,Both,,,340,204,,,68,68,68,68,68,68,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,68,255,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,68,68,68,68,68,68,N/A,,,,,,
FACTOR VIII ACTIVITY,85240,CPT,Both,,,199,119,,,39.8,39.8,39.8,39.8,39.8,39.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39.8,149,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39.8,39.8,39.8,39.8,39.8,39.8,N/A,,,,,,
STOOL WBC,89055,CPT,Both,,,95,57,,,19,19,19,19,19,19,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19,71,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19,19,19,19,19,19,N/A,,,,,,
FECAL FATS,82705,CPT,Both,,,84,50,,,16.8,16.8,16.8,16.8,16.8,16.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,16.8,63,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,16.8,16.8,16.8,16.8,16.8,16.8,N/A,,,,,,
