hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Martin Community Hospital,1/9/2025,1.0.0,Lake Martin Community Hospital,"201 Mariarden Rd, Dadeville, AL 36853",H6202,TRUE,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|MEDICARE|negotiated_dollar,standard_charge|MEDICARE|negotiated_percentage,standard_charge|MEDICARE|negotiated_algorithm,estimated_amount|MEDICARE|,standard_charge|MEDICARE|methodology,additional_payer_notes|MEDICARE|,standard_charge|TRICARE|ALL PLANS|negotiated_dollar,standard_charge|TRICARE|ALL PLANS|negotiated_percentage,standard_charge|TRICARE|ALL PLANS|negotiated_algorithm,estimated_amount|TRICARE|ALL PLANS,standard_charge|TRICARE|ALL PLANS|methodology,additional_payer_notes|TRICARE|ALL PLANS,standard_charge|MEDICAID|negotiated_dollar,standard_charge|MEDICAID|negotiated_percentage,standard_charge|MEDICAID|negotiated_algorithm,estimated_amount|MEDICAID|,standard_charge|MEDICAID|methodology,additional_payer_notes|MEDICAID|,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_dollar,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_percentage,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_algorithm,estimated_amount|VIVA MEDICARE ALL PLANS|,standard_charge|VIVA MEDICARE ALL PLANS|methodology,additional_payer_notes|VIVA MEDICARE ALL PLANS|,standard_charge|HUMANA ALL PLANS|negotiated_dollar,standard_charge|HUMANA ALL PLANS|negotiated_percentage,standard_charge|HUMANA ALL PLANS|negotiated_algorithm,estimated_amount|HUMANA ALL PLANS|,standard_charge|HUMANA ALL PLANS|methodology,additional_payer_notes|HUMANA ALL PLANS|,standard_charge|min,standard_charge|max,additional_generic_notes
CTA ABD AORTA W/ RUN OFF,75635,CPT,,,,BOTH,,,970,485,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,302.56,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,824.5,PERCENTAGE OF TOTAL BILLED CHARGES,,162.31,485,
VENOGRAM UNILATERA,75820,CPT,,,,BOTH,,,552,276,1487.85,,,,FEE SCHEDULE,,1339.07,,,,FEE SCHEDULE,,49.63,,,,FEE SCHEDULE,,1487.85,,,,FEE SCHEDULE,,,85,,469.2,PERCENTAGE OF TOTAL BILLED CHARGES,,49.63,1487.85,
VENOGRAM BILATERAL,75822,CPT,,,,BOTH,,,1104,552,1487.85,,,,FEE SCHEDULE,,1339.07,,,,FEE SCHEDULE,,44.48,,,,FEE SCHEDULE,,1487.85,,,,FEE SCHEDULE,,,85,,938.4,PERCENTAGE OF TOTAL BILLED CHARGES,,44.48,1487.85,
FLUORO <1HR,76000,CPT,,,,BOTH,,,100,50,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,8.53,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,85,PERCENTAGE OF TOTAL BILLED CHARGES,,8.53,233.52,
USE OF FLUORO 30MI,76000,CPT,,,,BOTH,,,170,85,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,8.53,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,144.5,PERCENTAGE OF TOTAL BILLED CHARGES,,8.53,233.52,
C-ARM <1HR,76000,CPT,,,,BOTH,,,100,50,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,8.53,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,85,PERCENTAGE OF TOTAL BILLED CHARGES,,8.53,233.52,
MG BREAST SPECIMAN BX,76098,CPT,,,,BOTH,,,97,48.5,503.13,,,,FEE SCHEDULE,,452.82,,,,FEE SCHEDULE,,25.03,,,,FEE SCHEDULE,,503.13,,,,FEE SCHEDULE,,,85,,82.45,PERCENTAGE OF TOTAL BILLED CHARGES,,25.03,503.13,
BREAST SPECIMEN EX,76098,CPT,,,,BOTH,,,110,55,503.13,,,,FEE SCHEDULE,,452.82,,,,FEE SCHEDULE,,25.03,,,,FEE SCHEDULE,,503.13,,,,FEE SCHEDULE,,,85,,93.5,PERCENTAGE OF TOTAL BILLED CHARGES,,25.03,503.13,
CHEST TOMOGRAMS,76100,CPT,,,,BOTH,,,199.5,99.75,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,42.7,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,169.575,PERCENTAGE OF TOTAL BILLED CHARGES,,42.7,106.88,
TOMOGRAM STERNOCL,76100,CPT,,,,BOTH,,,323,161.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,42.7,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,274.55,PERCENTAGE OF TOTAL BILLED CHARGES,,42.7,161.5,
TOMOGRAMS UPPER EX,76100,CPT,,,,BOTH,,,323,161.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,42.7,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,274.55,PERCENTAGE OF TOTAL BILLED CHARGES,,42.7,161.5,
TOMOGRAMS UPPER EX,76100,CPT,,,,BOTH,,,323,161.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,42.7,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,274.55,PERCENTAGE OF TOTAL BILLED CHARGES,,42.7,161.5,
TOMOGRAMS LOWER EX,76100,CPT,,,,BOTH,,,226,113,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,42.7,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,192.1,PERCENTAGE OF TOTAL BILLED CHARGES,,42.7,113,
CT 3D RECON,76376,CPT,,,,BOTH,,,400,200,22.16,,,,FEE SCHEDULE,,19.94,,,,FEE SCHEDULE,,111.25,,,,FEE SCHEDULE,,22.16,,,,FEE SCHEDULE,,,85,,340,PERCENTAGE OF TOTAL BILLED CHARGES,,19.94,200,
CT 3D RECON (CHARGE),76376,CPT,,,,BOTH,,,56,28,22.16,,,,FEE SCHEDULE,,19.94,,,,FEE SCHEDULE,,111.25,,,,FEE SCHEDULE,,22.16,,,,FEE SCHEDULE,,,85,,47.6,PERCENTAGE OF TOTAL BILLED CHARGES,,19.94,111.25,
MAG CONE VIEWS,76499,CPT,,,,BOTH,,,86,43,86.88,,,,FEE SCHEDULE,,78.19,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,86.88,,,,FEE SCHEDULE,,,85,,73.1,PERCENTAGE OF TOTAL BILLED CHARGES,,78.19,86.88,
MAG CONE VIEWS,76499,CPT,,,,BOTH,,,86,43,86.88,,,,FEE SCHEDULE,,78.19,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,86.88,,,,FEE SCHEDULE,,,85,,73.1,PERCENTAGE OF TOTAL BILLED CHARGES,,78.19,86.88,
U/S THYROID,76536,CPT,,,,BOTH,,,265,132.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,28.47,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,225.25,PERCENTAGE OF TOTAL BILLED CHARGES,,28.47,132.5,
US SOFT TISSUE,76536,CPT,,,,BOTH,,,255,127.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,28.47,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,216.75,PERCENTAGE OF TOTAL BILLED CHARGES,,28.47,127.5,
US THYROID,76536,CPT,,,,BOTH,,,255,127.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,28.47,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,216.75,PERCENTAGE OF TOTAL BILLED CHARGES,,28.47,127.5,
U/S CHEST,76604,CPT,,,,BOTH,,,69,34.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,71.2,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,58.65,PERCENTAGE OF TOTAL BILLED CHARGES,,71.2,106.88,
US CHEST,76604,CPT,,,,BOTH,,,132,66,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,71.2,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,112.2,PERCENTAGE OF TOTAL BILLED CHARGES,,71.2,106.88,
US BREAST - BILATERAL,76641,CPT,,,,BOTH,,,239,119.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,58.75,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,203.15,PERCENTAGE OF TOTAL BILLED CHARGES,,58.75,119.5,
US BREAST - LT,76642,CPT,,,,BOTH,,,197,98.5,86.88,,,,FEE SCHEDULE,,78.19,,,,FEE SCHEDULE,,44.99,,,,FEE SCHEDULE,,86.88,,,,FEE SCHEDULE,,,85,,167.45,PERCENTAGE OF TOTAL BILLED CHARGES,,44.99,98.5,
US BREAST - RT,76642,CPT,,,,BOTH,,,197,98.5,86.88,,,,FEE SCHEDULE,,78.19,,,,FEE SCHEDULE,,44.99,,,,FEE SCHEDULE,,86.88,,,,FEE SCHEDULE,,,85,,167.45,PERCENTAGE OF TOTAL BILLED CHARGES,,44.99,98.5,
U/S COMPLETE ABDOM,76700,CPT,,,,BOTH,,,545,272.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,96.4,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,463.25,PERCENTAGE OF TOTAL BILLED CHARGES,,96.19,272.5,
US ABDOMEN COMPLETE,76700,CPT,,,,BOTH,,,269,134.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,96.4,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,228.65,PERCENTAGE OF TOTAL BILLED CHARGES,,96.19,134.5,
U/S GALLBLADDER,76705,CPT,,,,BOTH,,,310,155,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,263.5,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,155,
U/S LIVER,76705,CPT,,,,BOTH,,,310,155,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,263.5,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,155,
U/S SPLEEN,76705,CPT,,,,BOTH,,,325,162.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,276.25,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,162.5,
U/S PANCREAS,76705,CPT,,,,BOTH,,,350,175,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,297.5,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,175,
U/S LIMITED ABDOMEN,76705,CPT,,,,BOTH,,,98,49,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,83.3,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,106.88,
U/S RT UPPER QUAND,76705,CPT,,,,BOTH,,,450,225,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,382.5,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,225,
US GALLBLADDER,76705,CPT,,,,BOTH,,,203,101.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,172.55,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,106.88,
US LIVER,76705,CPT,,,,BOTH,,,203,101.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,172.55,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,106.88,
US SPLEEN,76705,CPT,,,,BOTH,,,203,101.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,172.55,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,106.88,
US PANCREAS,76705,CPT,,,,BOTH,,,203,101.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,172.55,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,106.88,
US RT UPPER QUAD,76705,CPT,,,,BOTH,,,203,101.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,172.55,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,106.88,
US LIMITED ABDOMEN,76705,CPT,,,,BOTH,,,212,106,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.03,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,180.2,PERCENTAGE OF TOTAL BILLED CHARGES,,50.03,106.88,
U/S RENAL,76770,CPT,,,,BOTH,,,347,173.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,56.35,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,294.95,PERCENTAGE OF TOTAL BILLED CHARGES,,56.35,173.5,
US RENAL,76770,CPT,,,,BOTH,,,382,191,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,56.35,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,324.7,PERCENTAGE OF TOTAL BILLED CHARGES,,56.35,191,
US RENAL,76770,CPT,,,,BOTH,,,351,175.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,56.35,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,298.35,PERCENTAGE OF TOTAL BILLED CHARGES,,56.35,175.5,
U/S RENAL,76775,CPT,,,,BOTH,,,375,187.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,26.69,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,318.75,PERCENTAGE OF TOTAL BILLED CHARGES,,26.69,187.5,
U/S ABD AORTA,76775,CPT,,,,BOTH,,,325,162.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,26.69,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,276.25,PERCENTAGE OF TOTAL BILLED CHARGES,,26.69,162.5,
US ABDOMINAL AORTA,76775,CPT,,,,BOTH,,,138,69,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,26.69,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,117.3,PERCENTAGE OF TOTAL BILLED CHARGES,,26.69,106.88,
U/S SPINAL CONTENTS,76800,CPT,,,,BOTH,,,325,162.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,43.43,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,276.25,PERCENTAGE OF TOTAL BILLED CHARGES,,43.43,162.5,
US SPINAL CONTENTS,76800,CPT,,,,BOTH,,,360,180,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,43.43,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,306,PERCENTAGE OF TOTAL BILLED CHARGES,,43.43,180,
U/S OB FIRST TRIMESTER,76801,CPT,,,,BOTH,,,102,51,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,35.59,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,86.7,PERCENTAGE OF TOTAL BILLED CHARGES,,35.59,106.88,
US OB < 14 WEEKS,76801,CPT,,,,BOTH,,,273,136.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,35.59,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,232.05,PERCENTAGE OF TOTAL BILLED CHARGES,,35.59,136.5,
U/S OB FIRST TRIMESTER ADD,76802,CPT,,,,BOTH,,,84,42,57.7,,,,FEE SCHEDULE,,51.93,,,,FEE SCHEDULE,,25.21,,,,FEE SCHEDULE,,57.7,,,,FEE SCHEDULE,,,85,,71.4,PERCENTAGE OF TOTAL BILLED CHARGES,,25.21,57.7,
U/S PREG UTERUS 1ST TRI,76805,CPT,,,,BOTH,,,150,75,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,37.82,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,127.5,PERCENTAGE OF TOTAL BILLED CHARGES,,37.82,106.88,
US OB > 14 WEEKS,76805,CPT,,,,BOTH,,,327,163.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,37.82,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,277.95,PERCENTAGE OF TOTAL BILLED CHARGES,,37.82,163.5,
U/S OB AFTER 1ST. TRI ADD,76810,CPT,,,,BOTH,,,102,51,82.68,,,,FEE SCHEDULE,,74.41,,,,FEE SCHEDULE,,117.49,,,,FEE SCHEDULE,,82.68,,,,FEE SCHEDULE,,,85,,86.7,PERCENTAGE OF TOTAL BILLED CHARGES,,74.41,117.49,
US OB LIMITED,76815,CPT,,,,BOTH,,,198,99,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,37.08,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,168.3,PERCENTAGE OF TOTAL BILLED CHARGES,,37.08,106.88,
U/S TRANSVAGINAL,76830,CPT,,,,BOTH,,,153,76.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,42.61,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,130.05,PERCENTAGE OF TOTAL BILLED CHARGES,,42.61,106.88,
US TRANSVAGINAL,76830,CPT,,,,BOTH,,,276,138,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,42.61,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,234.6,PERCENTAGE OF TOTAL BILLED CHARGES,,42.61,138,
U/S PELVIS,76856,CPT,,,,BOTH,,,340,170,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,71.19,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,289,PERCENTAGE OF TOTAL BILLED CHARGES,,71.19,170,
US PELVIS,76856,CPT,,,,BOTH,,,244,122,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,71.19,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,207.4,PERCENTAGE OF TOTAL BILLED CHARGES,,71.19,122,
U/S TESTICLE,76870,CPT,,,,BOTH,,,285,142.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,21.41,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,242.25,PERCENTAGE OF TOTAL BILLED CHARGES,,21.41,142.5,
US SCROTUM/TESTICLES,76870,CPT,,,,BOTH,,,233,116.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,21.41,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,198.05,PERCENTAGE OF TOTAL BILLED CHARGES,,21.41,116.5,
U/S PROSTATE,76872,CPT,,,,BOTH,,,362,181,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.77,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,307.7,PERCENTAGE OF TOTAL BILLED CHARGES,,50.77,181,
U/S PROSTATE,76872,CPT,,,,BOTH,,,405,202.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.77,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,344.25,PERCENTAGE OF TOTAL BILLED CHARGES,,50.77,202.5,
US PROSTATE,76872,CPT,,,,BOTH,,,456,228,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,50.77,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,387.6,PERCENTAGE OF TOTAL BILLED CHARGES,,50.77,228,
US NON VASCULAR EXT,76881,CPT,,,,BOTH,,,129,64.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,82.98,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,109.65,PERCENTAGE OF TOTAL BILLED CHARGES,,82.98,106.88,
U/S GUIDED NEEDLE PLACEMENT-ER,76942,CPT,,,,BOTH,,,233,116.5,54.32,,,,FEE SCHEDULE,,48.89,,,,FEE SCHEDULE,,28.97,,,,FEE SCHEDULE,,54.32,,,,FEE SCHEDULE,,,85,,198.05,PERCENTAGE OF TOTAL BILLED CHARGES,,28.97,116.5,
U/S GUIDED BIOPSY,76942,CPT,,,,BOTH,,,325,162.5,54.32,,,,FEE SCHEDULE,,48.89,,,,FEE SCHEDULE,,28.97,,,,FEE SCHEDULE,,54.32,,,,FEE SCHEDULE,,,85,,276.25,PERCENTAGE OF TOTAL BILLED CHARGES,,28.97,162.5,
US-NEEDLE BX PRO,76942,CPT,,,,BOTH,,,450,225,54.32,,,,FEE SCHEDULE,,48.89,,,,FEE SCHEDULE,,28.97,,,,FEE SCHEDULE,,54.32,,,,FEE SCHEDULE,,,85,,382.5,PERCENTAGE OF TOTAL BILLED CHARGES,,28.97,225,
US GUIDED BIOPSY,76942,CPT,,,,BOTH,,,136,68,54.32,,,,FEE SCHEDULE,,48.89,,,,FEE SCHEDULE,,28.97,,,,FEE SCHEDULE,,54.32,,,,FEE SCHEDULE,,,85,,115.6,PERCENTAGE OF TOTAL BILLED CHARGES,,28.97,68,
US NEEDLE GUIDANCE BX,76942,CPT,,,,BOTH,,,136,68,54.32,,,,FEE SCHEDULE,,48.89,,,,FEE SCHEDULE,,28.97,,,,FEE SCHEDULE,,54.32,,,,FEE SCHEDULE,,,85,,115.6,PERCENTAGE OF TOTAL BILLED CHARGES,,28.97,68,
US LIVER ELASTOGRAPHY,76981,CPT,,,,BOTH,,,250,125,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,72.93,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,212.5,PERCENTAGE OF TOTAL BILLED CHARGES,,72.93,125,
US BREAST ELASTOGRAPHY,76982,CPT,,,,BOTH,,,223,111.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,5.5,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,189.55,PERCENTAGE OF TOTAL BILLED CHARGES,,5.5,111.5,
US THYROID ELASTOGRAPHY,76982,CPT,,,,BOTH,,,223,111.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,5.5,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,189.55,PERCENTAGE OF TOTAL BILLED CHARGES,,5.5,111.5,
US THYROID ELASTOGRAPHY NODULES,76983,CPT,,,,BOTH,,,139,69.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,31.64,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,118.15,PERCENTAGE OF TOTAL BILLED CHARGES,,31.64,106.88,
FLUORO VENOUS GUIDANCE,77001,CPT,,,,BOTH,,,228,114,91.2,,,,FEE SCHEDULE,,82.08,,,,FEE SCHEDULE,,56.35,,,,FEE SCHEDULE,,91.2,,,,FEE SCHEDULE,,,85,,193.8,PERCENTAGE OF TOTAL BILLED CHARGES,,56.35,114,
FLUORO NEEDLE GUIDANCE,77002,CPT,,,,BOTH,,,266,133,106.15,,,,FEE SCHEDULE,,95.54,,,,FEE SCHEDULE,,43.01,,,,FEE SCHEDULE,,106.15,,,,FEE SCHEDULE,,,85,,226.1,PERCENTAGE OF TOTAL BILLED CHARGES,,43.01,133,
FLUORO PAIN MANAGEMENT,77003,CPT,,,,BOTH,,,115,57.5,96.87,,,,FEE SCHEDULE,,87.18,,,,FEE SCHEDULE,,40.04,,,,FEE SCHEDULE,,96.87,,,,FEE SCHEDULE,,,85,,97.75,PERCENTAGE OF TOTAL BILLED CHARGES,,40.04,96.87,
CT GUIDED PELVIC B,77012,CPT,,,,BOTH,,,2417,1208.5,131.87,,,,FEE SCHEDULE,,118.68,,,,FEE SCHEDULE,,234.33,,,,FEE SCHEDULE,,131.87,,,,FEE SCHEDULE,,,85,,2054.45,PERCENTAGE OF TOTAL BILLED CHARGES,,118.68,1208.5,
CT GUIDED LUNG BIO,77012,CPT,,,,BOTH,,,2417,1208.5,131.87,,,,FEE SCHEDULE,,118.68,,,,FEE SCHEDULE,,234.33,,,,FEE SCHEDULE,,131.87,,,,FEE SCHEDULE,,,85,,2054.45,PERCENTAGE OF TOTAL BILLED CHARGES,,118.68,1208.5,
CT GUIDED CYST ASP,77012,CPT,,,,BOTH,,,2417,1208.5,131.87,,,,FEE SCHEDULE,,118.68,,,,FEE SCHEDULE,,234.33,,,,FEE SCHEDULE,,131.87,,,,FEE SCHEDULE,,,85,,2054.45,PERCENTAGE OF TOTAL BILLED CHARGES,,118.68,1208.5,
CT NEEDLE GUIDANCE (LIVER BX),77012,CPT,,,,BOTH,,,330,165,131.87,,,,FEE SCHEDULE,,118.68,,,,FEE SCHEDULE,,234.33,,,,FEE SCHEDULE,,131.87,,,,FEE SCHEDULE,,,85,,280.5,PERCENTAGE OF TOTAL BILLED CHARGES,,118.68,234.33,
CT NEEDLE GUIDANCE (PELVIS BX),77012,CPT,,,,BOTH,,,330,165,131.87,,,,FEE SCHEDULE,,118.68,,,,FEE SCHEDULE,,234.33,,,,FEE SCHEDULE,,131.87,,,,FEE SCHEDULE,,,85,,280.5,PERCENTAGE OF TOTAL BILLED CHARGES,,118.68,234.33,
CT NEEDLED GUIDANCE (LUNG BX),77012,CPT,,,,BOTH,,,330,165,131.87,,,,FEE SCHEDULE,,118.68,,,,FEE SCHEDULE,,234.33,,,,FEE SCHEDULE,,131.87,,,,FEE SCHEDULE,,,85,,280.5,PERCENTAGE OF TOTAL BILLED CHARGES,,118.68,234.33,
